"ID","Title","Description","Preconditions","TestData","Steps","ExpectedResult","ActualResult","Status"
"JS-REG-001","Registration page is displayed successfully","Check the initial registration page view to ensure all main components appear properly.","User is not logged in. || Browser can access the internet.","{}","Open the JobStreet Indonesia registration page. || Observe all key UI components on the page.","JobStreet logo is visible. || Registration page title is clear. || Sign-up buttons for Google, Facebook, and Apple are visible. || Email field and send code button are visible. || Help link, sign-in link, employer link, and legal footer are visible. || No overlapping, clipped, or broken elements.","",""
"JS-REG-002","Are you looking for employees link routes to employer area","Check whether the employer link directs users to the correct recruiter page.","Registration page is open.","{}","Click the Are you looking for employees link.","User is redirected to the correct employer/recruiter page or domain. || Target page loads successfully without errors.","",""
"JS-REG-003","Sign in link routes user to login page","Ensure the Sign in link opens the job seeker login page.","Registration page is open.","{}","Click the Sign in link below the form.","User is redirected to the job seeker login page. || Login form is displayed and usable.","",""
"JS-REG-004","Help link is accessible from registration page","Check whether users can open the Help page from the registration page.","Registration page is open.","{}","Click the Help link.","Help page or help center opens successfully. || Help content is relevant to account or registration.","",""
"JS-REG-005","Legal footer links can be opened","Verify all legal links in the footer are active and route to the correct pages.","Registration page is open.","{}","Click Security and Privacy link. || Return to registration page. || Click Terms and Conditions link. || Return to registration page. || Click Protect yourself online link. || Return to registration page. || Click Contact link.","Each link opens the correct page. || No broken links and no 404/500 pages.","",""
"JS-REG-006","User can request sign-in code using a new valid email","Ensure a valid email for a new account can be used to request a sign-in code.","Registration page is open. || Email is not yet registered or follows system rules for new registration.","{""email"":""jobseeker.indonesia@example.com""}","Enter a valid email in the Email address field. || Click Send me a sign-in code via email button.","Email validation passes. || Sign-in code request is processed. || System shows a success message that the code has been sent. || User is directed to code verification step or next instructions.","",""
"JS-REG-007","Email with leading or trailing spaces is normalized correctly","Check whether the system trims spaces before validating the email.","Registration page is open.","{""email"":""  jobseeker.indonesia@example.com  ""}","Enter an email with spaces at the beginning and end. || Click send sign-in code button.","System removes unnecessary spaces before validation. || If email format is valid after normalization, process continues successfully.","",""
"JS-REG-008","Empty email is rejected with a clear validation message","Ensure email field cannot be empty and the error message is clear.","Registration page is open.","{""email"":""""}","Leave email field empty. || Click send sign-in code button.","Request is not sent to backend. || Validation message that email is required is clearly shown. || Focus stays on or returns to the email field.","",""
"JS-REG-009","Invalid email format is rejected","Check whether invalid email format is rejected before processing.","Registration page is open.","{""email"":""jobseeker.indonesia@""}","Enter an invalid email format. || Click send sign-in code button.","Request is not processed. || Email validation error message is shown and easy to understand.","",""
"JS-REG-010","Registered email is handled according to business rules","Ensure registered emails follow the correct product flow without exposing sensitive information.","Registration page is open. || A registered email is available.","{""email"":""existing.user@example.com""}","Enter a registered email. || Click send sign-in code button.","System provides a safe and clear response according to product design. || If existing accounts can continue passwordless login, code can still be sent. || If existing accounts must go to login, system shows proper instruction. || Response does not reveal sensitive data beyond business needs.","",""
"JS-REG-011","Pressing Enter in email field triggers correct action","Check whether Enter key runs the same action as clicking send code button.","Registration page is open.","{""email"":""jobseeker.indonesia@example.com""}","Enter a valid email in email field. || Press Enter on keyboard.","Submit action runs the same as clicking send sign-in code button. || No duplicate submissions or unexpected behavior.","",""
"JS-REG-012","Network failure during sign-in code request is handled properly","Ensure network issues do not cause unclear errors or loss of user input.","Registration page is open. || Simulate internet disconnection or backend timeout/failure.","{""email"":""jobseeker.indonesia@example.com""}","Enter a valid email. || Click send sign-in code button while connection is unstable.","System shows a user-friendly and actionable error message. || User can retry after connection recovers. || Email input is not lost without reason.","",""
"JS-REG-014","Registration or login via Google succeeds","Check Google login/registration flow until user returns to the application.","Registration page is open. || Valid Google account is available.","{""provider"":""Google""}","Click Continue with Google button. || Select a valid Google account and approve consent if prompted. || Complete authentication.","Google authentication popup/page opens correctly. || After successful authentication, user returns to JobStreet. || Account is created or user is logged in based on existing data. || User is directed to onboarding, dashboard, or profile page.","",""
"JS-REG-015","Registration or login via Facebook succeeds","Ensure Facebook authentication flow completes smoothly and user returns to JobStreet.","Registration page is open. || Valid Facebook account is available.","{""provider"":""Facebook""}","Click Continue with Facebook button. || Complete authentication on Facebook.","Facebook authentication runs successfully. || User returns to JobStreet as logged in user or with newly created account.","",""
"JS-REG-016","Registration or login via Apple succeeds","Check Apple login/registration flow, including hide my email option.","Registration page is open. || Valid Apple ID is available.","{""provider"":""Apple""}","Click Continue with Apple button. || Complete Apple authentication including hide my email option if available.","Apple authentication runs successfully. || System can still create or identify the account correctly even when email relay is used.","",""
"JS-REG-017","Cancelling social login does not cause broken account or hanging state","Ensure cancelling social login does not freeze the page or create a partial account.","Registration page is open.","{""provider"":""Google or Facebook or Apple""}","Click one of the social login buttons. || Close popup or cancel authentication from provider side.","User returns to registration page without JavaScript errors or freeze. || No partial account is created without full consent/authentication. || Informational message appears if needed.","",""
"JS-REG-018","Valid email sign-in code can be verified","Check whether a valid sign-in code can be used to complete login or registration.","Sign-in code has been sent to user email. || User is on code verification page.","{""otp"":""Latest valid code""}","Open the user email inbox. || Retrieve the valid sign-in code. || Enter code on verification page. || Confirm verification.","Valid code is accepted. || Account is created or login session is activated. || User is redirected to the next page to start applying for jobs or complete profile.","",""
"JS-REG-019","Incorrect sign-in code is rejected","Ensure system rejects incorrect code and still allows retry.","User is on code verification page.","{""otp"":""123456""}","Enter an incorrect code. || Submit verification.","Verification fails. || Clear error message is shown. || User can retry while still within allowed attempt limit.","",""
"JS-REG-020","Expired sign-in code is rejected and user can request new code","Check whether expired code is rejected and user can still request a new code.","User has a code that has passed validity period.","{""otp"":""Expired code""}","Enter an expired code. || Submit verification. || Select resend code option if available.","System rejects expired code. || Expired-code message is shown. || User can request or receive a new code.","",""
"JS-REG-021","Resend sign-in code generates a new valid code","Ensure resend feature sends a new code that can be used successfully.","User is on code verification page. || Resend feature is available based on cooldown.","{}","Click resend code after cooldown ends. || Open latest email. || Use latest code for verification.","New code is sent to user email. || Latest code can be used successfully. || Previous code becomes invalid if system rule applies.","",""
"JS-REG-023","After successful registration user can continue to onboarding or profile","Check post-registration destination so user lands on the correct next page.","Registration or login succeeds via email or social auth.","{}","Complete registration successfully. || Observe destination page after success.","User session is active. || User is redirected to relevant page to start applying, complete profile, or open dashboard. || User name or login indicator is shown if designed that way.","",""
"JS-REG-024","Field labels and error messages are clearly readable","Check clarity of labels, action buttons, and validation messages in the form.","Registration page is open.","{}","Observe email field label, action button text, and displayed validation messages.","Labels match controlled inputs. || Error messages are specific, concise, and easy to understand. || Text and component contrast is sufficient for comfortable reading.","",""
"JS-REG-025","All main copy on page is consistently in Bahasa Indonesia","Check whether all main text on the page consistently uses Bahasa Indonesia.","User accesses Indonesian locale.","{}","Open registration page and review all main text on screen.","Texts such as register, email address, help, sign in, and CTA buttons are in Bahasa Indonesia. || No inconsistent language mix except for brand name or social provider names.","",""
